Column1,Column2,Column3,Column4,Column5,Column6
重量,じゅうりょう,heavyweight,,,
重力,じゅうりょく,gravity,,,
熟語,じゅくご,"idiom, kanji compound",,,
祝日,しゅくじつ,national holiday,,,
受験,じゅけん,taking an examination,,,
主語,しゅご,(gram) subject,,,
主人,しゅじん,(one's own) husband,,,
出勤,しゅっきん,"going to work, at work",,,
述語,じゅつご,predicate,,,
寿命,じゅみょう,life span,,,
主役,しゅやく,leading part,,,
循環,じゅんかん,"circulation, rotation, cycle",,,
巡査,じゅんさ,policeman,,,
順々,じゅんじゅん,"in order, in turn",,,
順序,じゅんじょ,"order, sequence, procedure",,,
純情,じゅんじょう,pure heart,,,
女～,じょ～,things done by women,,,
～女,～じょ,count for sisters,,,
省～,しょう～,economizing ~,,,
～商,～しょう,"merchant, business",,,
～勝,～しょう,count for victory,,,
～条,～じょう,counter for article,,,
～畳,～じょう,"count for tatami, mat",,,
小学生,しょうがくせい,elementary school pupil,,,
しょうがない,しょうがない,It is not worth ~,,,
将棋,将[しょう]棋[ぎ],Japanese chess,,,
蒸気,じょうき,"steam, vapor",,,
定規,じょうぎ,(measuring) ruler,,,
上級,じょうきゅう,"advanced level, high grade, senior",,,
商業,商[しょう]業[ぎょう],"commerce, trade, business",,,
上下,じょうげ,"high and low, up and down",,,
障子,しょうじ,paper sliding door,,,
商社,しょうしゃ,trading company,,,
生ずる,生[しょう]ずる,"to cause, to arise, to be generated",,,
小数,しょうすう,"fraction (part of), decimal",,,
商店,商[しょう]店[てん],"shop, business firm",,,
焦点,しょうてん,"focus, point",,,
蒸発,じょうはつ,evaporation; unexplained disappearance,,,
上品,じょうひん,"refined, elegant, well-mannered",,,
小便,しょうべん,"(col) urine, piss",,,
正味,しょうみ,net (weight),,,
正面,しょうめん,front,,,
消耗,しょうもう,"exhaustion, consumption",,,
初級,しょきゅう,elementary level,,,
助教授,じょきょうじゅ,assistant professor,,,
～色,～しょく,kind of color,,,
食塩,しょくえん,table salt,,,
職人,しょくにん,"artisan, craftsman",,,
食器,しょっき,tableware,,,
ショップ,ショップ,a shop,,,
書店,しょてん,bookshop,,,
書道,しょどう,calligraphy,,,
初歩,初[しょ]歩[ほ],"elements, rudiments",,,
シリーズ,シリーズ,series,,,
私立,しりつ,private (establishment),,,
資料,しりょう,"materials, data",,,
汁,しる,"juice, soup",,,
素人,しろうと,"layman, amateur, novice",,,
しわ (かおの～),しわ (かおの～),"wrinkles, creases",,,
芯,しん,"core, heart, wick",,,
新幹線,しんかんせん,"Shinkansen, ""Bullet Train""",,,
真空,真[しん]空[くう],vacuum,,,
人事,じんじ,"human resources, personnel management",,,
信ずる,しんずる,to believe,,,
心身,しんしん,mind and body,,,
人造,じんぞう,"man-made, synthetic, artificial",,,
寝台,しんだい,bed,,,
侵入,侵[しん]入[にゅう],"invasion, raid, trespass",,,
人文科学,じんぶんかがく,"social sciences, humanities",,,
人命,じんめい,(human) life,,,
深夜,深[しん]夜[や],late at night,,,
針路,しんろ,"course, direction",,,
神話,しんわ,"myth, legend",,,
水産,すいさん,"marine products, fisheries",,,
水蒸気,すいじょうき,"water vapor, steam",,,
水素,すいそ,hydrogen,,,
垂直,垂[すい]直[ちょく],"vertical, perpendicular",,,
推定,すいてい,"presumption, assumption, estimation",,,
水滴,すいてき,drop of water,,,
水筒,すいとう,"canteen, flask, water bottle",,,
水分,すいぶん,moisture,,,
水平,すいへい,"level, horizontal",,,
水面,すいめん,water's surface,,,
図々しい,ずうずうしい,"impudent, shameless",,,
ずうっと,ずうっと,"all the time, all the way",,,
スカーフ,スカーフ,scarf,,,
図鑑,ずかん,picture book,,,
隙,すき,"unguarded moment, chance",,,
透き通る,すきとおる,to be(come) transparent,,,
隙間,すきま,"crack, gap, opening<br>spare moment, free time",,,
～過ぎる,～すぎる,too much ~,,,
スクール,スクール,school,,,
鈴,すず,bell,,,
スタート,スタート,start,,,
スチュワーデス,スチュワーデス,stewardess,,,
すっきり,すっきり,"shapely, clear, neat",,,
ストッキング,ストッキング,stockings,,,
ストップ,ストップ,stop,,,
素直,すなお,"obedient, meek, docile<br>honest, frank",na,,
頭脳,頭[ず]脳[のう],"head, brains, intellect",,,
スピーカー,スピーカー,speaker,,,
図表,ずひょう,"chart, diagram, graph",,,
スマート,スマート,"smart, stylish, slim",,,
住まい,すまい,"dwelling, house",,,
すまない,すまない,sorry (phrase),,,
～済,～ずみ,finished,,,
相撲,すもう,sumo wrestling,,,
スライド,スライド,slide,,,
ずらす,ずらす,"to put off, to delay",,,
ずらり,ずらり,"in a line, in a row",,,
スリッパ,スリッパ,slippers,,,
狡い,ずるい,"sly, cunning",,,
寸法,すんぽう,"measurement, size, dimension",,,
清書,せいしょ,clean copy,,,
青少年,せいしょうねん,"youth, young person",,,
整数,せいすう,integer,,,
清掃,せいそう,cleaning,,,
生存,せいぞん,"existence, being, survival",,,
政党,せいとう,(member of) political party,,,
成分,成[せい]分[ぶん],"ingredient, component, composition",,,
性別,せいべつ,"sex, gender",,,
正門,せいもん,"main gate, main entrance",,,
成立,せいりつ,"formation, establishment, completion",,,
西暦,せいれき,"Christian Era, after (Christ’s) death (A.D.)",,,
～席,～せき,counter for seats,,,
赤道,せきどう,equator,,,
折角,せっかく,"with trouble, at great pains, long-awaited",,,
接近,せっきん,"getting closer, drawing nearer, approaching",,,
接する,せっする,to attend to (someone); to associate with,,,
瀬戸物,せともの,"earthenware, crockery, china",,,
ぜひとも,ぜひとも,by all means (with sense of not taking 'no' for an answer),,,
セメント,セメント,cement,,,
台詞,せりふ,"speech, words, one's lines, remarks",,,
～船,～せん,counter for ships,,,
～戦,～せん,"counter for games, matches",,,
～前,～ぜん,before ~,,,
全集,ぜんしゅう,complete works,,,
扇子,せんす,folding fan,,,
専制,せんせい,"despotism, autocracy",,,
先々月,せんせんげつ,month before last,,,
